Global_Step,Curriculum_Lvl,Dist_to_Target,Reward,Terminated,Table_Collision,Self_Collision,J1_Pos,J2_Pos,J3_Pos,J4_Pos,J5_Pos,J6_Pos,J1_Vel,J2_Vel,J3_Vel,J4_Vel,J5_Vel,J6_Vel,Gripper_Pos,EE_X,EE_Y,EE_Z,Target_X,Target_Y,Target_Z,Handoff_X,Handoff_Y,Handoff_Z,Handoff_OK,Act_J1,Act_J2,Act_J3,Act_J4,Act_J5,Act_J6,Act_Gripper,Phase,Goal_X,Goal_Y,Goal_Z,Transport_X,Transport_Y,Transport_Z,Transport_OK,Placement_Error_M,Standoff_M,Spawn_Radius_M,Contact_Detected
1,0.0,0.0455,0.0023,False,False,False,-0.4701,5.7064,0.7172,-1.6851,-1.5871,1.1201,-0.0646,-0.0412,0.0622,-0.0590,-0.0083,-0.0719,0.0318,0.8049,-0.2694,0.0544,0.8020,-0.2600,0.0099,0.8020,-0.2600,0.2299,True,-0.0646,-0.0412,0.0622,-0.0590,-0.0083,-0.0719,-1.8252,grasp,0.8020,-0.2600,0.0099,0.0000,0.0000,0.0000,False,,0.0500,0.0000,False
2,0.0,0.0401,-0.0107,False,False,False,-0.4701,5.7064,0.7172,-1.6851,-1.5871,1.1201,-0.0646,-0.0412,0.0622,-0.0590,-0.0083,-0.0719,0.0318,0.8044,-0.2668,0.0494,0.8020,-0.2600,0.0099,0.8020,-0.2600,0.2299,True,-0.0650,-0.0456,0.0545,-0.0685,0.0309,-0.0657,-2.9069,grasp,0.8020,-0.2600,0.0099,0.0000,0.0000,0.0000,False,,0.0500,0.0000,False
3,0.0,1.3882,-1.3502,False,False,False,-0.5351,5.6608,0.7717,-1.7537,-1.5561,1.0544,-0.0000,-0.0000,0.0000,-0.0000,0.0000,-0.0000,0.0299,0.1678,0.3751,1.0690,0.8020,-0.2600,0.0099,0.8020,-0.2600,0.2299,True,-0.0318,0.0496,-0.0286,-0.0260,0.0700,-0.0500,0.9704,grasp,0.8020,-0.2600,0.0099,0.0000,0.0000,0.0000,False,,0.0500,0.0000,True
4,0.0,1.3873,-0.0239,False,False,False,-0.5330,5.6605,0.7724,-1.7524,-1.5574,1.0558,0.1413,-0.0186,0.0491,0.0839,-0.0829,0.0958,0.0480,0.1702,0.3754,1.0690,0.8020,-0.2600,0.0099,0.8020,-0.2600,0.2299,True,0.0742,-0.0098,0.0259,0.0441,-0.0436,0.0504,-2.3811,grasp,0.8020,-0.2600,0.0099,0.0000,0.0000,0.0000,False,,0.0500,0.0000,False
5,0.0,1.3922,-0.0395,False,False,False,-0.5310,5.6602,0.7731,-1.7512,-1.5586,1.0572,0.2017,-0.0265,0.0701,0.1196,-0.1182,0.1367,0.0529,0.1673,0.3836,1.0688,0.8020,-0.2600,0.0099,0.8020,-0.2600,0.2299,True,-0.0174,-0.0599,-0.0147,0.0076,0.0345,-0.0636,-2.6597,grasp,0.8020,-0.2600,0.0099,0.0000,0.0000,0.0000,False,,0.0500,0.0000,False
6,0.0,1.3951,-0.0057,False,False,False,-0.5306,5.6602,0.7731,-1.7512,-1.5586,1.0572,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0737,0.1650,0.3878,1.0686,0.8020,-0.2600,0.0099,0.8020,-0.2600,0.2299,True,0.0152,0.0132,-0.0114,-0.0076,-0.0324,0.0235,2.9360,grasp,0.8020,-0.2600,0.0099,0.0000,0.0000,0.0000,False,,0.0500,0.0000,True
7,0.0,1.3952,-0.0128,False,False,False,-0.5308,5.6599,0.7734,-1.7509,-1.5593,1.0578,-0.0362,-0.0453,0.0402,0.0416,-0.0373,0.0376,0.1337,0.1652,0.3884,1.0685,0.8020,-0.2600,0.0099,0.8020,-0.2600,0.2299,True,-0.0361,-0.0452,0.0401,0.0415,-0.0376,0.0378,2.3194,grasp,0.8020,-0.2600,0.0099,0.0000,0.0000,0.0000,False,,0.0500,0.0000,True
8,0.0,1.3958,-0.0095,False,False,False,-0.5313,5.6594,0.7744,-1.7506,-1.5596,1.0582,0.0210,0.0327,0.0222,-0.0492,0.0379,-0.0314,0.1347,0.1663,0.3907,1.0685,0.8020,-0.2600,0.0099,0.8020,-0.2600,0.2299,True,0.0201,0.0319,0.0230,-0.0484,0.0372,-0.0307,-2.8248,grasp,0.8020,-0.2600,0.0099,0.0000,0.0000,0.0000,False,,0.0500,0.0000,False
9,0.0,1.3975,-0.0197,False,False,False,-0.5309,5.6600,0.7748,-1.7515,-1.5589,1.0576,0.0396,0.0622,0.0422,-0.0934,0.0720,-0.0597,0.1253,0.1665,0.3941,1.0687,0.8020,-0.2600,0.0099,0.8020,-0.2600,0.2299,True,0.0009,-0.0221,-0.0177,-0.0465,-0.0670,-0.0209,-2.6355,grasp,0.8020,-0.2600,0.0099,0.0000,0.0000,0.0000,False,,0.0500,0.0000,False
10,0.0,1.3979,-0.0035,False,False,False,-0.5309,5.6601,0.7748,-1.7515,-1.5589,1.0576,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.1192,0.1654,0.3941,1.0686,0.8020,-0.2600,0.0099,0.8020,-0.2600,0.2299,True,0.0038,0.0052,-0.0237,-0.0046,-0.0393,0.0496,1.8310,grasp,0.8020,-0.2600,0.0099,0.0000,0.0000,0.0000,False,,0.0500,0.0000,True
