Global_Step,Curriculum_Lvl,Dist_to_Target,Reward,Terminated,Table_Collision,Self_Collision,J1_Pos,J2_Pos,J3_Pos,J4_Pos,J5_Pos,J6_Pos,J1_Vel,J2_Vel,J3_Vel,J4_Vel,J5_Vel,J6_Vel,Gripper_Pos,EE_X,EE_Y,EE_Z,Target_X,Target_Y,Target_Z,Handoff_X,Handoff_Y,Handoff_Z,Handoff_OK,Act_J1,Act_J2,Act_J3,Act_J4,Act_J5,Act_J6,Act_Gripper,Phase,Goal_X,Goal_Y,Goal_Z,Transport_X,Transport_Y,Transport_Z,Transport_OK,Placement_Error_M,Standoff_M,Spawn_Radius_M,Contact_Detected,GT_X,GT_Y,GT_Z,Perception_Error_M
1,0.0,1.3025,-0.0287,False,False,False,0.5525,4.7323,0.6678,-1.5619,-0.6935,0.8856,-0.1797,-0.0018,-0.1307,-0.1156,-0.1225,0.0763,0.0032,0.2081,0.5318,0.8565,0.8020,-0.2600,0.0099,0.0000,0.0000,0.0000,False,-0.0261,0.0045,-0.0085,-0.0677,-0.0790,0.0255,-3.0485,grasp,0.8020,-0.2600,0.0099,0.0000,0.0000,0.0000,False,,0.0500,0.0000,False,0.0000,0.0000,0.0000,
2,0.0,1.3022,-0.0108,False,False,False,0.5502,4.7322,0.6659,-1.5643,-0.6952,0.8872,-0.0134,-0.0073,-0.0389,-0.0770,0.0078,0.0595,0.0357,0.2087,0.5347,0.8538,0.8020,-0.2600,0.0099,0.0000,0.0000,0.0000,False,-0.0156,-0.0072,-0.0404,-0.0787,0.0061,0.0605,-1.8004,grasp,0.8020,-0.2600,0.0099,0.0000,0.0000,0.0000,False,,0.0500,0.0000,False,0.0000,0.0000,0.0000,
3,0.0,1.3022,-0.0109,False,False,False,0.5503,4.7325,0.6658,-1.5654,-0.6953,0.8876,0.0299,0.0389,0.0574,0.0379,-0.0237,-0.0769,0.0642,0.2087,0.5347,0.8538,0.8020,-0.2600,0.0099,0.0000,0.0000,0.0000,False,0.0297,0.0387,0.0567,0.0364,-0.0236,-0.0758,-2.1382,grasp,0.8020,-0.2600,0.0099,0.0000,0.0000,0.0000,False,,0.0500,0.0000,False,0.0000,0.0000,0.0000,
4,0.0,1.3028,-0.0263,False,False,False,0.5512,4.7350,0.6680,-1.5626,-0.6967,0.8849,0.0200,0.1166,0.0727,0.1357,-0.0671,-0.0782,0.1305,0.2093,0.5380,0.8520,0.8020,-0.2600,0.0099,0.0000,0.0000,0.0000,False,0.0111,0.0626,0.0393,0.0722,-0.0358,-0.0426,1.2716,grasp,0.8020,-0.2600,0.0099,0.0000,0.0000,0.0000,False,,0.0500,0.0000,True,0.0000,0.0000,0.0000,
5,0.0,1.3015,-0.0093,False,False,False,0.5513,4.7373,0.6691,-1.5612,-0.6981,0.8846,-0.0102,-0.0000,0.0060,-0.0473,-0.0458,0.0727,0.1904,0.2123,0.5446,0.8458,0.8020,-0.2600,0.0099,0.0000,0.0000,0.0000,False,-0.0100,0.0077,0.0070,-0.0454,-0.0468,0.0716,3.0440,grasp,0.8020,-0.2600,0.0099,0.0000,0.0000,0.0000,False,,0.0500,0.0000,True,0.0000,0.0000,0.0000,
6,0.0,1.3015,-0.0107,False,False,False,0.5504,4.7370,0.6690,-1.5618,-0.6985,0.8857,-0.0766,-0.0301,-0.0187,0.0283,0.0474,-0.0241,0.2501,0.2123,0.5446,0.8458,0.8020,-0.2600,0.0099,0.0000,0.0000,0.0000,False,-0.0768,-0.0300,-0.0186,0.0274,0.0465,-0.0227,2.2190,grasp,0.8020,-0.2600,0.0099,0.0000,0.0000,0.0000,False,,0.0500,0.0000,True,0.0000,0.0000,0.0000,
7,0.0,1.3024,-0.0157,False,False,False,0.5497,4.7358,0.6689,-1.5607,-0.6972,0.8854,0.0806,-0.0673,0.0297,0.0558,0.0419,0.0155,0.3091,0.2132,0.5480,0.8446,0.8020,-0.2600,0.0099,0.0000,0.0000,0.0000,False,0.0792,-0.0679,0.0294,0.0564,0.0428,0.0150,2.2974,grasp,0.8020,-0.2600,0.0099,0.0000,0.0000,0.0000,False,,0.0500,0.0000,True,0.0000,0.0000,0.0000,
8,0.0,1.3045,-0.0156,False,False,False,0.5505,4.7349,0.6696,-1.5600,-0.6987,0.8856,-0.0479,0.0308,0.0048,-0.0273,-0.1469,-0.0055,0.3885,0.2110,0.5512,0.8433,0.8020,-0.2600,0.0099,0.0000,0.0000,0.0000,False,-0.0237,0.0143,0.0031,-0.0133,-0.0765,-0.0026,-1.0546,grasp,0.8020,-0.2600,0.0099,0.0000,0.0000,0.0000,False,,0.0500,0.0000,False,0.0000,0.0000,0.0000,
9,0.0,1.3045,-0.0067,False,False,False,0.5496,4.7350,0.6694,-1.5601,-0.7006,0.8852,-0.0254,-0.0369,-0.0195,0.0300,0.0134,-0.0341,0.3716,0.2110,0.5512,0.8433,0.8020,-0.2600,0.0099,0.0000,0.0000,0.0000,False,-0.0261,-0.0362,-0.0195,0.0296,0.0113,-0.0341,-1.8148,grasp,0.8020,-0.2600,0.0099,0.0000,0.0000,0.0000,False,,0.0500,0.0000,False,0.0000,0.0000,0.0000,
10,0.0,1.3031,-0.0190,False,False,False,0.5497,4.7337,0.6685,-1.5601,-0.6998,0.8838,0.0563,-0.0673,-0.0543,-0.0544,0.0583,-0.0748,0.3912,0.2126,0.5499,0.8433,0.8020,-0.2600,0.0099,0.0000,0.0000,0.0000,False,0.0558,-0.0683,-0.0547,-0.0539,0.0585,-0.0755,1.6720,grasp,0.8020,-0.2600,0.0099,0.0000,0.0000,0.0000,False,,0.0500,0.0000,True,0.0000,0.0000,0.0000,
