Global_Step,Curriculum_Lvl,Dist_to_Target,Reward,Terminated,Table_Collision,Self_Collision,J1_Pos,J2_Pos,J3_Pos,J4_Pos,J5_Pos,J6_Pos,J1_Vel,J2_Vel,J3_Vel,J4_Vel,J5_Vel,J6_Vel,Gripper_Pos,EE_X,EE_Y,EE_Z,Target_X,Target_Y,Target_Z,Handoff_X,Handoff_Y,Handoff_Z,Handoff_OK,Act_J1,Act_J2,Act_J3,Act_J4,Act_J5,Act_J6,Act_Gripper,Phase,Goal_X,Goal_Y,Goal_Z,Transport_X,Transport_Y,Transport_Z,Transport_OK,Placement_Error_M,Standoff_M,Spawn_Radius_M,Contact_Detected
1,0.0,0.0455,-0.0304,False,False,False,2.9722,2.9604,0.8366,-2.1912,-4.6954,-4.8763,0.0632,-0.1029,-0.1476,-0.0882,0.1034,-0.1496,0.0070,0.8049,-0.2694,0.0544,0.8020,-0.2600,0.0099,0.8020,-0.2600,0.2299,True,0.0347,-0.0542,-0.0777,-0.0467,0.0533,-0.0788,-2.9396,grasp,0.8020,-0.2600,0.0099,0.0000,0.0000,0.0000,False,,0.0500,0.0000,False
2,0.0,0.0401,14.9599,True,False,False,2.9731,2.9589,0.8345,-2.1925,-4.6939,-4.8784,0.0905,-0.1468,-0.2105,-0.1257,0.1474,-0.2134,0.0088,0.8044,-0.2668,0.0494,0.8020,-0.2600,0.0099,0.8020,-0.2600,0.2299,True,-0.0661,0.0777,0.0630,0.0644,-0.0358,-0.0060,1.3632,grasp,0.8020,-0.2600,0.0099,0.0000,0.0000,0.0000,False,,0.0500,0.0000,True
3,0.0,1.3813,-0.0161,False,False,False,-0.4517,4.7563,-0.2250,-1.2838,-0.1037,1.4709,-0.0380,0.0735,0.0592,0.0570,0.0449,-0.0703,0.0400,0.1678,0.3751,1.0690,0.8020,-0.2600,0.0190,0.8020,-0.2600,0.2390,False,-0.0380,0.0735,0.0592,0.0570,0.0449,-0.0698,-0.7353,grasp,0.8020,-0.2600,0.0190,0.0000,0.0000,0.0000,False,,0.0500,0.0000,False
4,0.0,1.3803,-0.0329,False,False,False,-0.4524,4.7576,-0.2239,-1.2827,-0.1028,1.4696,-0.0723,0.1409,0.1125,0.1083,0.0853,-0.1335,0.0600,0.1702,0.3754,1.0690,0.8020,-0.2600,0.0190,0.8020,-0.2600,0.2390,False,-0.0664,-0.0321,0.0469,0.0070,-0.0537,-0.0093,-1.7122,grasp,0.8020,-0.2600,0.0190,0.0000,0.0000,0.0000,False,,0.0500,0.0000,False
5,0.0,1.3853,-0.0488,False,False,False,-0.4476,4.7555,-0.2284,-1.2803,-0.0992,1.4636,0.1842,-0.1019,-0.1705,0.0930,0.1367,-0.2285,0.1710,0.1673,0.3836,1.0688,0.8020,-0.2600,0.0190,0.8020,-0.2600,0.2390,False,0.0536,-0.0290,-0.0496,0.0270,0.0398,-0.0664,2.0137,grasp,0.8020,-0.2600,0.0190,0.0000,0.0000,0.0000,False,,0.0500,0.0000,True
6,0.0,1.3881,-0.0156,False,False,False,-0.4460,4.7532,-0.2309,-1.2789,-0.0980,1.4602,-0.0674,-0.0319,-0.0457,0.0272,-0.0447,-0.0613,0.2283,0.1650,0.3878,1.0686,0.8020,-0.2600,0.0190,0.8020,-0.2600,0.2390,False,-0.0652,-0.0408,-0.0477,0.0283,-0.0431,-0.0640,-0.1147,grasp,0.8020,-0.2600,0.0190,0.0000,0.0000,0.0000,False,,0.0500,0.0000,False
7,0.0,1.3883,-0.0279,False,False,False,-0.4473,4.7526,-0.2317,-1.2784,-0.0989,1.4591,-0.1280,-0.0683,-0.0868,0.0517,-0.0850,-0.1165,0.2440,0.1652,0.3884,1.0685,0.8020,-0.2600,0.0190,0.8020,-0.2600,0.2390,False,0.0033,0.0117,-0.0722,-0.0140,0.0766,-0.0130,2.3143,grasp,0.8020,-0.2600,0.0190,0.0000,0.0000,0.0000,False,,0.0500,0.0000,True
8,0.0,1.3888,-0.0478,False,False,False,-0.4537,4.7523,-0.2352,-1.2833,-0.0935,1.4639,-0.2444,-0.0093,-0.1306,-0.1856,0.2059,0.1851,0.3635,0.1663,0.3907,1.0685,0.8020,-0.2600,0.0190,0.8020,-0.2600,0.2390,False,-0.0711,-0.0028,-0.0380,-0.0540,0.0599,0.0538,2.4317,grasp,0.8020,-0.2600,0.0190,0.0000,0.0000,0.0000,False,,0.0500,0.0000,True
9,0.0,1.3905,-0.0065,False,False,False,-0.4565,4.7520,-0.2372,-1.2853,-0.0911,1.4659,0.0109,-0.0112,-0.0460,0.0149,-0.0132,-0.0235,0.3871,0.1665,0.3941,1.0687,0.8020,-0.2600,0.0190,0.8020,-0.2600,0.2390,False,0.0079,-0.0114,-0.0475,0.0127,-0.0108,-0.0213,-2.1551,grasp,0.8020,-0.2600,0.0190,0.0000,0.0000,0.0000,False,,0.0500,0.0000,False
10,0.0,1.3909,-0.0124,False,False,False,-0.4563,4.7518,-0.2380,-1.2851,-0.0914,1.4655,0.0206,-0.0214,-0.0874,0.0283,-0.0251,-0.0447,0.3671,0.1654,0.3941,1.0686,0.8020,-0.2600,0.0190,0.8020,-0.2600,0.2390,False,0.0696,0.0167,0.0332,0.0290,-0.0661,0.0743,-1.0543,grasp,0.8020,-0.2600,0.0190,0.0000,0.0000,0.0000,False,,0.0500,0.0000,False
11,0.0,1.3913,-0.0406,False,False,False,-0.4582,4.7543,-0.2452,-1.2880,-0.0868,1.4672,-0.0704,0.0943,-0.2710,-0.1118,0.1735,0.0656,0.4564,0.1657,0.3950,1.0686,0.8020,-0.2600,0.0190,0.8020,-0.2600,0.2390,False,-0.0205,0.0274,-0.0788,-0.0325,0.0505,0.0191,2.7198,grasp,0.8020,-0.2600,0.0190,0.0000,0.0000,0.0000,False,,0.0500,0.0000,True
12,0.0,1.3933,-0.0157,False,False,False,-0.4582,4.7555,-0.2485,-1.2886,-0.0854,1.4682,0.0787,0.0120,-0.0096,0.0729,-0.0665,0.0244,0.5163,0.1644,0.3982,1.0686,0.8020,-0.2600,0.0190,0.8020,-0.2600,0.2390,False,0.0779,0.0131,-0.0128,0.0715,-0.0645,0.0252,-1.8295,grasp,0.8020,-0.2600,0.0190,0.0000,0.0000,0.0000,False,,0.0500,0.0000,False
13,0.0,1.3934,-0.0259,False,False,False,-0.4567,4.7557,-0.2487,-1.2872,-0.0867,1.4687,0.1496,0.0228,-0.0183,0.1385,-0.1264,0.0464,0.5363,0.1649,0.3991,1.0684,0.8020,-0.2600,0.0190,0.8020,-0.2600,0.2390,False,0.0076,0.0232,0.0285,0.0366,-0.0175,0.0355,1.4526,grasp,0.8020,-0.2600,0.0190,0.0000,0.0000,0.0000,False,,0.0500,0.0000,False
14,0.0,1.3934,-0.0361,False,False,False,-0.4584,4.7587,-0.2449,-1.2915,-0.0875,1.4670,-0.0817,0.1507,0.1817,-0.2076,-0.0372,-0.0799,0.4896,0.1650,0.3992,1.0684,0.8020,-0.2600,0.0190,0.8020,-0.2600,0.2390,False,-0.0302,0.0552,0.0670,-0.0766,-0.0137,-0.0295,-0.0906,grasp,0.8020,-0.2600,0.0190,0.0000,0.0000,0.0000,False,,0.0500,0.0000,False
