Global_Step,Curriculum_Lvl,Dist_to_Target,Reward,Terminated,Table_Collision,Self_Collision,J1_Pos,J2_Pos,J3_Pos,J4_Pos,J5_Pos,J6_Pos,J1_Vel,J2_Vel,J3_Vel,J4_Vel,J5_Vel,J6_Vel,Gripper_Pos,EE_X,EE_Y,EE_Z,Target_X,Target_Y,Target_Z,Handoff_X,Handoff_Y,Handoff_Z,Handoff_OK,Act_J1,Act_J2,Act_J3,Act_J4,Act_J5,Act_J6,Act_Gripper,Phase,Goal_X,Goal_Y,Goal_Z,Transport_X,Transport_Y,Transport_Z,Transport_OK,Placement_Error_M,Standoff_M,Spawn_Radius_M,Contact_Detected,GT_X,GT_Y,GT_Z,Perception_Error_M
1,0.0,0.1214,-5.0021,True,False,False,-0.4513,4.7557,-0.2256,-1.2844,-0.1041,1.4753,0.0000,-0.0000,-0.0000,0.0000,-0.0000,0.0000,0.0200,0.1657,0.3734,1.0690,0.1862,0.2547,1.0846,0.0000,0.0000,0.0000,False,-0.0478,-0.0529,0.0695,-0.0159,0.0390,-0.0642,2.7088,grasp,0.1862,0.2547,1.0846,0.0000,0.0000,0.0000,False,,0.0500,0.0000,True,0.8020,-0.2600,0.0099,1.3413
2,0.0,0.1210,-5.0113,True,False,False,-0.4589,4.7463,-0.2132,-1.2874,-0.0971,1.4647,0.0603,-0.0255,0.0410,-0.0268,0.0286,0.0461,0.0398,0.1647,0.3742,1.0695,0.1857,0.2562,1.0864,0.0000,0.0000,0.0000,False,0.0604,-0.0254,0.0408,-0.0268,0.0285,0.0463,-0.2867,grasp,0.1857,0.2562,1.0864,0.0000,0.0000,0.0000,False,,0.0500,0.0000,False,0.8020,-0.2600,0.0099,1.3435
3,0.0,0.1210,-5.0015,True,False,False,-0.4462,4.7465,-0.2123,-1.2902,-0.0957,1.4765,0.0000,-0.0000,-0.0000,0.0000,-0.0000,0.0000,0.0201,0.1592,0.3767,1.0698,0.1811,0.2587,1.0854,0.0000,0.0000,0.0000,False,0.0003,-0.0681,0.0187,-0.0163,0.0645,-0.0277,1.8751,grasp,0.1811,0.2587,1.0854,0.0000,0.0000,0.0000,False,,0.0500,0.0000,True,0.8020,-0.2600,0.0099,1.3458
4,0.0,0.1202,-5.0097,True,False,False,-0.4477,4.7384,-0.2145,-1.2905,-0.0873,1.4716,0.0448,0.0000,-0.0162,0.0248,0.0694,0.0333,0.0398,0.1504,0.3811,1.0697,0.1729,0.2643,1.0868,0.0000,0.0000,0.0000,False,0.0447,0.0003,-0.0164,0.0249,0.0692,0.0333,1.1801,grasp,0.1729,0.2643,1.0868,0.0000,0.0000,0.0000,False,,0.0500,0.0000,True,0.8020,-0.2600,0.0099,1.3529
5,0.0,0.1202,-5.0087,True,False,False,-0.4414,4.7454,-0.2213,-1.2836,-0.0825,1.4783,0.0300,0.0004,0.0305,0.0342,-0.0009,-0.0316,0.0135,0.1500,0.3813,1.0695,0.1741,0.2646,1.0854,0.0000,0.0000,0.0000,False,0.0298,0.0005,0.0305,0.0342,-0.0013,-0.0316,-2.0955,grasp,0.1741,0.2646,1.0854,0.0000,0.0000,0.0000,False,,0.0500,0.0000,False,0.8020,-0.2600,0.0099,1.3514
6,0.0,0.1210,-5.0020,True,False,False,-0.4393,4.7496,-0.2169,-1.2770,-0.0913,1.4707,0.0000,-0.0000,-0.0000,0.0000,-0.0000,0.0000,0.0201,0.1575,0.3775,1.0693,0.1806,0.2597,1.0844,0.0000,0.0000,0.0000,False,0.0359,0.0020,0.0599,-0.0627,-0.0622,0.0304,3.0913,grasp,0.1806,0.2597,1.0844,0.0000,0.0000,0.0000,False,,0.0500,0.0000,True,0.8020,-0.2600,0.0099,1.3456
7,0.0,0.1203,-5.0099,True,False,False,-0.4375,4.7521,-0.2094,-1.2908,-0.1067,1.4777,0.0353,-0.0217,0.0627,-0.0106,0.0465,-0.0043,0.0112,0.1649,0.3735,1.0696,0.1889,0.2567,1.0849,0.0000,0.0000,0.0000,False,0.0350,-0.0217,0.0624,-0.0105,0.0465,-0.0044,-2.7102,grasp,0.1889,0.2567,1.0849,0.0000,0.0000,0.0000,False,,0.0500,0.0000,False,0.8020,-0.2600,0.0099,1.3410
8,0.0,0.1225,-5.0101,True,False,False,-0.4373,4.7507,-0.2068,-1.2896,-0.0982,1.4764,0.0793,0.0326,-0.0036,0.0032,0.0073,0.0428,0.0287,0.1636,0.3764,1.0698,0.1855,0.2567,1.0848,0.0000,0.0000,0.0000,False,0.0791,0.0327,-0.0039,0.0033,0.0072,0.0428,-1.9555,grasp,0.1855,0.2567,1.0848,0.0000,0.0000,0.0000,False,,0.0500,0.0000,False,0.8020,-0.2600,0.0099,1.3425
9,0.0,0.1212,-5.0021,True,False,False,-0.4301,4.7581,-0.2151,-1.2869,-0.0994,1.4829,0.0000,-0.0000,-0.0000,0.0000,-0.0000,0.0000,0.0201,0.1628,0.3746,1.0696,0.1869,0.2566,1.0837,0.0000,0.0000,0.0000,False,0.0213,-0.0134,-0.0757,-0.0217,0.0019,0.0639,2.2431,grasp,0.1869,0.2566,1.0837,0.0000,0.0000,0.0000,False,,0.0500,0.0000,True,0.8020,-0.2600,0.0099,1.3410
10,0.0,0.1208,-5.0039,True,False,False,-0.4348,4.7548,-0.2323,-1.2897,-0.1010,1.4909,0.0000,-0.0000,-0.0000,0.0000,-0.0000,0.0000,0.0201,0.1543,0.3786,1.0690,0.1765,0.2608,1.0842,0.0000,0.0000,0.0000,False,-0.0426,-0.0323,0.0167,0.0395,-0.0574,-0.0331,0.0674,grasp,0.1765,0.2608,1.0842,0.0000,0.0000,0.0000,False,,0.0500,0.0000,True,0.8020,-0.2600,0.0099,1.3478
