Global_Step,Curriculum_Lvl,Dist_to_Target,Reward,Terminated,Table_Collision,Self_Collision,J1_Pos,J2_Pos,J3_Pos,J4_Pos,J5_Pos,J6_Pos,J1_Vel,J2_Vel,J3_Vel,J4_Vel,J5_Vel,J6_Vel,Gripper_Pos,EE_X,EE_Y,EE_Z,Target_X,Target_Y,Target_Z,Handoff_X,Handoff_Y,Handoff_Z,Handoff_OK,Act_J1,Act_J2,Act_J3,Act_J4,Act_J5,Act_J6,Act_Gripper,Phase,Goal_X,Goal_Y,Goal_Z,Transport_X,Transport_Y,Transport_Z,Transport_OK,Placement_Error_M,Standoff_M,Spawn_Radius_M,Contact_Detected
13,0.0,1.4852,-0.0312,False,False,False,-0.5795,5.5015,0.8404,-1.7905,4.6624,1.1043,-0.1375,0.0401,0.0460,-0.0880,-0.1321,0.0609,0.3182,-0.0883,0.4188,0.9858,0.8020,-0.2600,0.0099,0.8020,-0.2600,0.2299,True,-0.0424,-0.0624,0.0489,-0.0568,-0.0646,0.0603,0.2180,grasp,0.8020,-0.2600,0.0099,0.0000,0.0000,0.0000,False,,0.0500,0.0000,False
14,0.0,1.4836,-0.0081,False,False,False,-0.5818,5.5015,0.8412,-1.7916,4.6612,1.1049,-0.0037,-0.0739,0.0145,0.0176,0.0696,-0.0348,0.3380,-0.0853,0.4158,0.9882,0.8020,-0.2600,0.0099,0.8020,-0.2600,0.2299,True,-0.0094,-0.0724,0.0151,0.0164,0.0677,-0.0339,1.9249,grasp,0.8020,-0.2600,0.0099,0.0000,0.0000,0.0000,False,,0.0500,0.0000,True
15,0.0,1.4836,-0.0176,False,False,False,-0.5816,5.5008,0.8408,-1.7917,4.6633,1.1050,0.0371,0.0758,-0.0714,-0.0426,0.0727,0.0771,0.3376,-0.0853,0.4158,0.9882,0.8020,-0.2600,0.0099,0.8020,-0.2600,0.2299,True,0.0370,0.0735,-0.0711,-0.0422,0.0740,0.0765,-1.4207,grasp,0.8020,-0.2600,0.0099,0.0000,0.0000,0.0000,False,,0.0500,0.0000,False
16,0.0,1.4830,-0.0179,False,False,False,-0.5816,5.5008,0.8408,-1.7917,4.6633,1.1050,0.0371,0.0758,-0.0714,-0.0426,0.0727,0.0771,0.3376,-0.0826,0.4157,0.9898,0.8020,-0.2600,0.0099,0.8020,-0.2600,0.2299,True,0.0771,0.0029,0.0274,0.0759,0.0583,-0.0493,-2.7606,grasp,0.8020,-0.2600,0.0099,0.0000,0.0000,0.0000,False,,0.0500,0.0000,False
17,0.0,1.4830,-0.0096,False,False,False,-0.5807,5.5027,0.8389,-1.7925,4.6642,1.1063,0.0187,0.0394,-0.0548,-0.0050,-0.0484,-0.0099,0.3657,-0.0821,0.4168,0.9896,0.8020,-0.2600,0.0099,0.8020,-0.2600,0.2299,True,0.0196,0.0417,-0.0561,-0.0059,-0.0470,-0.0085,1.9757,grasp,0.8020,-0.2600,0.0099,0.0000,0.0000,0.0000,False,,0.0500,0.0000,True
18,0.0,1.4875,-0.0057,False,False,False,-0.5803,5.5034,0.8378,-1.7926,4.6632,1.1061,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.4057,-0.0885,0.4194,0.9887,0.8020,-0.2600,0.0099,0.8020,-0.2600,0.2299,True,-0.0127,0.0778,0.0292,0.0207,-0.0749,-0.0127,-0.1023,grasp,0.8020,-0.2600,0.0099,0.0000,0.0000,0.0000,False,,0.0500,0.0000,False
19,0.0,1.4904,-0.0068,False,False,False,-0.5804,5.5043,0.8381,-1.7924,4.6625,1.1060,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.4231,-0.0934,0.4254,0.9845,0.8020,-0.2600,0.0099,0.8020,-0.2600,0.2299,True,-0.0724,0.0034,0.0566,0.0331,0.0583,0.0270,1.2404,grasp,0.8020,-0.2600,0.0099,0.0000,0.0000,0.0000,False,,0.0500,0.0000,True
20,0.0,1.4904,-0.0149,False,False,False,-0.5805,5.5046,0.8392,-1.7926,4.6629,1.1070,0.0715,0.0260,0.0493,-0.0485,-0.0205,0.0745,0.4242,-0.0934,0.4254,0.9845,0.8020,-0.2600,0.0099,0.8020,-0.2600,0.2299,True,0.0706,0.0260,0.0499,-0.0482,-0.0200,0.0748,-0.2255,grasp,0.8020,-0.2600,0.0099,0.0000,0.0000,0.0000,False,,0.0500,0.0000,False
21,0.0,1.4947,-0.0196,False,False,False,-0.5805,5.5046,0.8392,-1.7926,4.6629,1.1070,0.0715,0.0260,0.0493,-0.0485,-0.0205,0.0745,0.4242,-0.1013,0.4244,0.9845,0.8020,-0.2600,0.0099,0.8020,-0.2600,0.2299,True,-0.0659,0.0020,0.0263,0.0119,-0.0095,0.0224,0.0506,grasp,0.8020,-0.2600,0.0099,0.0000,0.0000,0.0000,False,,0.0500,0.0000,False
22,0.0,1.4963,-0.0134,False,False,False,-0.5785,5.5048,0.8398,-1.7939,4.6622,1.1089,0.0524,-0.0346,-0.0336,-0.0357,-0.0332,0.0499,0.4042,-0.1032,0.4276,0.9829,0.8020,-0.2600,0.0099,0.8020,-0.2600,0.2299,True,0.0551,-0.0333,-0.0326,-0.0366,-0.0336,0.0513,-0.4605,grasp,0.8020,-0.2600,0.0099,0.0000,0.0000,0.0000,False,,0.0500,0.0000,False
