Global_Step,Curriculum_Lvl,Dist_to_Target,Reward,Terminated,Table_Collision,Self_Collision,J1_Pos,J2_Pos,J3_Pos,J4_Pos,J5_Pos,J6_Pos,J1_Vel,J2_Vel,J3_Vel,J4_Vel,J5_Vel,J6_Vel,Gripper_Pos,EE_X,EE_Y,EE_Z,Target_X,Target_Y,Target_Z,Handoff_X,Handoff_Y,Handoff_Z,Handoff_OK,Act_J1,Act_J2,Act_J3,Act_J4,Act_J5,Act_J6,Act_Gripper,Phase,Goal_X,Goal_Y,Goal_Z,Transport_X,Transport_Y,Transport_Z,Transport_OK,Placement_Error_M,Standoff_M,Spawn_Radius_M,Contact_Detected,GT_X,GT_Y,GT_Z,Perception_Error_M
11,0.0,0.2251,-0.0103,False,False,False,2.0386,4.6995,1.9717,-1.9612,-1.5520,0.0032,-0.0754,0.0043,-0.0461,0.0342,0.0137,-0.0600,0.0406,-0.3302,0.3462,0.1604,-0.1874,0.4143,0.0001,0.0000,0.0000,0.0000,False,-0.0754,0.0043,-0.0459,0.0341,0.0134,-0.0600,-0.6879,grasp,-0.1874,0.4143,0.0001,0.0000,0.0000,0.0000,False,,0.0500,0.0000,False,0.8020,-0.2600,0.0338,1.1978
12,0.0,0.2251,-0.0225,False,False,False,2.0372,4.6995,1.9708,-1.9605,-1.5517,0.0021,-0.1432,0.0082,-0.0876,0.0650,0.0259,-0.1139,0.0606,-0.3302,0.3462,0.1604,-0.1874,0.4143,0.0001,0.0000,0.0000,0.0000,False,-0.0378,-0.0456,0.0620,-0.0585,0.0796,-0.0489,0.6127,grasp,-0.1874,0.4143,0.0001,0.0000,0.0000,0.0000,False,,0.0500,0.0000,True,0.8020,-0.2600,0.0338,1.1978
13,0.0,0.2251,-0.0020,False,False,False,2.0372,4.6995,1.9708,-1.9605,-1.5517,0.0021,0.0000,0.0000,0.0000,0.0000,-0.0000,0.0000,0.1002,-0.3302,0.3462,0.1604,-0.1874,0.4143,0.0001,0.0000,0.0000,0.0000,False,-0.0241,0.0660,-0.0085,-0.0045,-0.0304,-0.0576,-2.0035,grasp,-0.1874,0.4143,0.0001,0.0000,0.0000,0.0000,False,,0.0500,0.0000,False,0.8020,-0.2600,0.0338,1.1978
14,0.0,0.2257,-0.0032,False,False,False,2.0372,4.6995,1.9708,-1.9605,-1.5517,0.0021,0.0000,0.0000,0.0000,0.0000,-0.0000,0.0000,0.1002,-0.3302,0.3462,0.1604,-0.1865,0.4146,0.0003,0.0000,0.0000,0.0000,False,-0.0456,-0.0209,0.0140,-0.0219,-0.0681,0.0042,1.4754,grasp,-0.1865,0.4146,0.0003,0.0000,0.0000,0.0000,False,,0.0500,0.0000,True,0.8020,-0.2600,0.0338,1.1978
15,0.0,0.2218,-0.0047,False,False,False,2.0372,4.7007,1.9712,-1.9606,-1.5515,0.0018,0.0218,0.0490,0.0400,0.0010,0.0487,0.0291,0.1456,-0.3298,0.3470,0.1555,-0.1865,0.4146,0.0003,0.0000,0.0000,0.0000,False,0.0216,0.0496,0.0400,0.0010,0.0484,0.0286,-0.0600,grasp,-0.1865,0.4146,0.0003,0.0000,0.0000,0.0000,False,,0.0500,0.0000,False,0.8020,-0.2600,0.0338,1.1978
16,0.0,0.2218,-0.0183,False,False,False,2.0376,4.7016,1.9719,-1.9605,-1.5506,0.0024,0.0415,0.0930,0.0761,0.0019,0.0925,0.0554,0.1653,-0.3298,0.3470,0.1555,-0.1865,0.4146,0.0003,0.0000,0.0000,0.0000,False,0.0672,-0.0606,0.0444,0.0466,-0.0791,0.0523,-1.1298,grasp,-0.1865,0.4146,0.0003,0.0000,0.0000,0.0000,False,,0.0500,0.0000,False,0.8020,-0.2600,0.0338,1.1978
17,0.0,0.2182,-0.0052,False,False,False,2.0381,4.7021,1.9723,-1.9610,-1.5506,0.0026,0.0508,0.0466,0.0351,-0.0402,0.0005,0.0187,0.2182,-0.3303,0.3459,0.1493,-0.1865,0.4146,0.0003,0.0000,0.0000,0.0000,False,0.0508,0.0467,0.0351,-0.0402,0.0005,0.0187,-0.5600,grasp,-0.1865,0.4146,0.0003,0.0000,0.0000,0.0000,False,,0.0500,0.0000,False,0.8020,-0.2600,0.0338,1.1978
18,0.0,0.2182,-0.0182,False,False,False,2.0391,4.7030,1.9729,-1.9617,-1.5506,0.0029,0.0965,0.0886,0.0667,-0.0764,0.0009,0.0356,0.2293,-0.3303,0.3459,0.1493,-0.1865,0.4146,0.0003,0.0000,0.0000,0.0000,False,-0.0167,0.0736,0.0332,0.0185,0.0631,-0.0185,1.2236,grasp,-0.1865,0.4146,0.0003,0.0000,0.0000,0.0000,False,,0.0500,0.0000,True,0.8020,-0.2600,0.0338,1.1978
19,0.0,0.2182,-0.0204,False,False,False,2.0391,4.7030,1.9729,-1.9617,-1.5506,0.0029,0.0965,0.0886,0.0667,-0.0764,0.0009,0.0356,0.2293,-0.3303,0.3459,0.1493,-0.1865,0.4146,0.0003,0.0000,0.0000,0.0000,False,-0.0693,0.0074,-0.0406,0.0608,-0.0405,-0.0309,-0.0137,grasp,-0.1865,0.4146,0.0003,0.0000,0.0000,0.0000,False,,0.0500,0.0000,False,0.8020,-0.2600,0.0338,1.1978
20,0.0,0.2182,-0.0034,False,False,False,2.0391,4.7030,1.9729,-1.9617,-1.5506,0.0029,0.0000,0.0000,0.0000,0.0000,-0.0000,0.0000,0.2693,-0.3303,0.3459,0.1493,-0.1865,0.4146,0.0003,0.0000,0.0000,0.0000,False,-0.0764,0.0674,-0.0192,-0.0276,-0.0238,-0.0477,-0.7986,grasp,-0.1865,0.4146,0.0003,0.0000,0.0000,0.0000,False,,0.0500,0.0000,False,0.8020,-0.2600,0.0338,1.1978
21,0.0,0.2214,-5.0059,True,False,False,2.0391,4.7030,1.9729,-1.9617,-1.5506,0.0029,0.0000,0.0000,0.0000,0.0000,-0.0000,0.0000,0.2693,-0.3303,0.3459,0.1493,-0.1838,0.4150,-0.0017,0.0000,0.0000,0.0000,False,-0.0740,-0.0667,0.0393,0.0364,0.0101,-0.0065,-1.0453,grasp,-0.1838,0.4150,-0.0017,0.0000,0.0000,0.0000,False,,0.0500,0.0000,False,0.8020,-0.2600,0.0338,1.1978
22,0.0,0.2245,-0.0090,False,False,False,2.0264,4.6900,1.9838,-1.9590,-1.5542,0.0003,0.0122,0.0276,-0.0470,-0.0365,0.0227,-0.0491,0.0432,-0.3228,0.3454,0.1587,-0.1781,0.4112,0.0002,0.0000,0.0000,0.0000,False,0.0124,0.0277,-0.0469,-0.0367,0.0225,-0.0491,0.7894,grasp,-0.1781,0.4112,0.0002,0.0000,0.0000,0.0000,False,,0.0500,0.0000,True,0.8020,-0.2600,0.0099,1.1880
23,0.0,0.2245,-0.0190,False,False,False,2.0266,4.6906,1.9829,-1.9597,-1.5537,-0.0007,0.0231,0.0525,-0.0892,-0.0693,0.0432,-0.0932,0.0632,-0.3228,0.3454,0.1587,-0.1781,0.4112,0.0002,0.0000,0.0000,0.0000,False,-0.0082,0.0734,0.0036,0.0159,-0.0135,-0.0464,-2.5174,grasp,-0.1781,0.4112,0.0002,0.0000,0.0000,0.0000,False,,0.0500,0.0000,False,0.8020,-0.2600,0.0099,1.1880
24,0.0,0.2245,-0.0027,False,False,False,2.0266,4.6906,1.9829,-1.9597,-1.5537,-0.0007,-0.0000,0.0000,0.0000,0.0000,-0.0000,0.0000,0.0654,-0.3228,0.3454,0.1587,-0.1781,0.4112,0.0002,0.0000,0.0000,0.0000,False,0.0673,0.0667,-0.0746,-0.0753,-0.0527,0.0483,-2.6753,grasp,-0.1781,0.4112,0.0002,0.0000,0.0000,0.0000,False,,0.0500,0.0000,False,0.8020,-0.2600,0.0099,1.1880
25,0.0,0.2244,-0.0015,False,False,False,2.0266,4.6906,1.9829,-1.9597,-1.5537,-0.0007,-0.0000,0.0000,0.0000,0.0000,-0.0000,0.0000,0.0654,-0.3228,0.3454,0.1587,-0.1785,0.4118,0.0003,0.0000,0.0000,0.0000,False,-0.0323,0.0222,-0.0046,-0.0512,0.0314,0.0074,2.6129,grasp,-0.1785,0.4118,0.0003,0.0000,0.0000,0.0000,False,,0.0500,0.0000,True,0.8020,-0.2600,0.0099,1.1880
26,0.0,0.2232,-0.0093,False,False,False,2.0276,4.6911,1.9816,-1.9608,-1.5546,0.0003,0.0328,-0.0094,-0.0488,-0.0396,-0.0348,0.0499,0.1048,-0.3237,0.3460,0.1566,-0.1785,0.4118,0.0003,0.0000,0.0000,0.0000,False,0.0334,-0.0087,-0.0495,-0.0404,-0.0353,0.0503,-1.0024,grasp,-0.1785,0.4118,0.0003,0.0000,0.0000,0.0000,False,,0.0500,0.0000,False,0.8020,-0.2600,0.0099,1.1880
27,0.0,0.2232,-0.0120,False,False,False,2.0276,4.6911,1.9816,-1.9608,-1.5546,0.0003,0.0328,-0.0094,-0.0488,-0.0396,-0.0348,0.0499,0.1048,-0.3237,0.3460,0.1566,-0.1785,0.4118,0.0003,0.0000,0.0000,0.0000,False,0.0433,0.0773,0.0391,0.0661,0.0727,0.0758,-0.7255,grasp,-0.1785,0.4118,0.0003,0.0000,0.0000,0.0000,False,,0.0500,0.0000,False,0.8020,-0.2600,0.0099,1.1880
28,0.0,0.2232,-0.0143,False,False,False,2.0275,4.6910,1.9812,-1.9621,-1.5550,0.0006,-0.0754,0.0074,0.0455,-0.0534,0.0270,-0.0626,0.1205,-0.3237,0.3460,0.1566,-0.1785,0.4118,0.0003,0.0000,0.0000,0.0000,False,-0.0747,0.0072,0.0446,-0.0541,0.0263,-0.0617,-2.3999,grasp,-0.1785,0.4118,0.0003,0.0000,0.0000,0.0000,False,,0.0500,0.0000,False,0.8020,-0.2600,0.0099,1.1880
29,0.0,0.2217,0.0003,False,False,False,2.0261,4.6912,1.9820,-1.9631,-1.5545,-0.0005,-0.0000,0.0000,0.0000,0.0000,-0.0000,0.0000,0.1095,-0.3235,0.3472,0.1551,-0.1785,0.4118,0.0003,0.0000,0.0000,0.0000,False,-0.0662,-0.0104,-0.0049,-0.0777,-0.0559,-0.0197,-2.8716,grasp,-0.1785,0.4118,0.0003,0.0000,0.0000,0.0000,False,,0.0500,0.0000,False,0.8020,-0.2600,0.0099,1.1880
30,0.0,0.2217,-0.0022,False,False,False,2.0254,4.6911,1.9820,-1.9639,-1.5550,-0.0007,-0.0648,-0.0105,-0.0058,-0.0767,-0.0564,-0.0185,0.1020,-0.3235,0.3472,0.1551,-0.1785,0.4118,0.0003,0.0000,0.0000,0.0000,False,-0.0116,-0.0333,0.0659,0.0382,0.0149,-0.0344,2.6370,grasp,-0.1785,0.4118,0.0003,0.0000,0.0000,0.0000,False,,0.0500,0.0000,True,0.8020,-0.2600,0.0099,1.1880
31,0.0,0.2217,-0.0025,False,False,False,2.0254,4.6911,1.9820,-1.9639,-1.5550,-0.0007,0.0000,0.0000,0.0000,0.0000,-0.0000,0.0000,0.1220,-0.3235,0.3472,0.1551,-0.1785,0.4118,0.0003,0.0000,0.0000,0.0000,False,-0.0204,-0.0221,-0.0233,-0.0686,-0.0458,-0.0239,2.9225,grasp,-0.1785,0.4118,0.0003,0.0000,0.0000,0.0000,False,,0.0500,0.0000,True,0.8020,-0.2600,0.0099,1.1880
32,0.0,0.2207,-0.0001,False,False,False,2.0254,4.6911,1.9820,-1.9639,-1.5550,-0.0007,0.0000,0.0000,0.0000,0.0000,-0.0000,0.0000,0.1620,-0.3233,0.3477,0.1529,-0.1781,0.4151,0.0008,0.0000,0.0000,0.0000,False,0.0129,0.0101,0.0297,-0.0711,-0.0233,0.0548,-2.9431,grasp,-0.1781,0.4151,0.0008,0.0000,0.0000,0.0000,False,,0.0500,0.0000,False,0.8020,-0.2600,0.0099,1.1880
33,0.0,0.2207,-0.0098,False,False,False,2.0256,4.6912,1.9823,-1.9646,-1.5553,-0.0002,0.0129,0.0101,0.0297,-0.0711,-0.0233,0.0548,0.1820,-0.3233,0.3477,0.1529,-0.1781,0.4151,0.0008,0.0000,0.0000,0.0000,False,-0.0470,-0.0474,0.0138,0.0591,0.0618,-0.0516,-0.9496,grasp,-0.1781,0.4151,0.0008,0.0000,0.0000,0.0000,False,,0.0500,0.0000,False,0.8020,-0.2600,0.0099,1.1880
34,0.0,0.2207,-0.0121,False,False,False,2.0257,4.6916,1.9817,-1.9641,-1.5554,0.0005,0.0152,0.0414,-0.0546,0.0557,-0.0148,0.0707,0.2420,-0.3233,0.3477,0.1529,-0.1781,0.4151,0.0008,0.0000,0.0000,0.0000,False,0.0152,0.0414,-0.0546,0.0557,-0.0148,0.0707,-0.1311,grasp,-0.1781,0.4151,0.0008,0.0000,0.0000,0.0000,False,,0.0500,0.0000,False,0.8020,-0.2600,0.0099,1.1880
35,0.0,0.2176,0.0017,False,False,False,2.0260,4.6924,1.9807,-1.9630,-1.5557,0.0019,-0.0000,0.0000,0.0000,0.0000,-0.0000,0.0000,0.2629,-0.3235,0.3478,0.1481,-0.1781,0.4151,0.0008,0.0000,0.0000,0.0000,False,-0.0634,0.0414,0.0079,-0.0705,-0.0480,-0.0756,-1.1770,grasp,-0.1781,0.4151,0.0008,0.0000,0.0000,0.0000,False,,0.0500,0.0000,False,0.8020,-0.2600,0.0099,1.1880
36,0.0,0.2176,-0.0026,False,False,False,2.0260,4.6924,1.9807,-1.9630,-1.5557,0.0019,-0.0000,0.0000,0.0000,0.0000,-0.0000,0.0000,0.2629,-0.3235,0.3478,0.1481,-0.1781,0.4151,0.0008,0.0000,0.0000,0.0000,False,-0.0709,0.0117,0.0254,0.0449,-0.0373,0.0504,-0.4263,grasp,-0.1781,0.4151,0.0008,0.0000,0.0000,0.0000,False,,0.0500,0.0000,False,0.8020,-0.2600,0.0099,1.1880
37,0.0,0.2176,-0.0035,False,False,False,2.0254,4.6928,1.9808,-1.9637,-1.5562,0.0011,0.0000,0.0000,0.0000,0.0000,-0.0000,0.0000,0.2816,-0.3235,0.3478,0.1481,-0.1781,0.4151,0.0008,0.0000,0.0000,0.0000,False,0.0609,0.0367,-0.0677,0.0606,-0.0449,0.0155,2.2205,grasp,-0.1781,0.4151,0.0008,0.0000,0.0000,0.0000,False,,0.0500,0.0000,True,0.8020,-0.2600,0.0099,1.1880
38,0.0,0.2205,-0.0055,False,False,False,2.0254,4.6928,1.9808,-1.9637,-1.5562,0.0011,0.0000,0.0000,0.0000,0.0000,-0.0000,0.0000,0.2816,-0.3235,0.3478,0.1481,-0.1748,0.4167,0.0005,0.0000,0.0000,0.0000,False,0.0158,0.0284,0.0446,-0.0695,-0.0776,0.0783,2.5994,grasp,-0.1748,0.4167,0.0005,0.0000,0.0000,0.0000,False,,0.0500,0.0000,True,0.8020,-0.2600,0.0099,1.1880
39,0.0,0.2194,-0.0101,False,False,False,2.0263,4.6938,1.9804,-1.9624,-1.5569,0.0011,0.0352,0.0706,0.0279,0.0737,-0.0275,-0.0128,0.2803,-0.3234,0.3482,0.1467,-0.1748,0.4167,0.0005,0.0000,0.0000,0.0000,False,0.0358,0.0710,0.0272,0.0743,-0.0279,-0.0127,-1.7760,grasp,-0.1748,0.4167,0.0005,0.0000,0.0000,0.0000,False,,0.0500,0.0000,False,0.8020,-0.2600,0.0099,1.1880
40,0.0,0.2194,-0.0129,False,False,False,2.0271,4.6948,1.9803,-1.9611,-1.5575,0.0002,0.0092,-0.0512,-0.0608,-0.0136,-0.0077,-0.0643,0.2757,-0.3234,0.3482,0.1467,-0.1748,0.4167,0.0005,0.0000,0.0000,0.0000,False,0.0099,-0.0491,-0.0603,-0.0122,-0.0082,-0.0645,-0.7747,grasp,-0.1748,0.4167,0.0005,0.0000,0.0000,0.0000,False,,0.0500,0.0000,False,0.8020,-0.2600,0.0099,1.1880
41,0.0,0.2200,-0.0020,False,False,False,2.0273,4.6937,1.9791,-1.9614,-1.5576,-0.0010,-0.0000,0.0000,0.0000,0.0000,-0.0000,0.0000,0.2676,-0.3236,0.3478,0.1473,-0.1748,0.4167,0.0005,0.0000,0.0000,0.0000,False,-0.0448,-0.0311,0.0286,0.0263,0.0600,-0.0359,-1.7893,grasp,-0.1748,0.4167,0.0005,0.0000,0.0000,0.0000,False,,0.0500,0.0000,False,0.8020,-0.2600,0.0099,1.1880
42,0.0,0.2200,-0.0027,False,False,False,2.0273,4.6937,1.9791,-1.9614,-1.5576,-0.0010,-0.0000,0.0000,0.0000,0.0000,-0.0000,0.0000,0.2676,-0.3236,0.3478,0.1473,-0.1748,0.4167,0.0005,0.0000,0.0000,0.0000,False,-0.0238,0.0578,-0.0301,0.0306,-0.0675,-0.0587,0.2393,grasp,-0.1748,0.4167,0.0005,0.0000,0.0000,0.0000,False,,0.0500,0.0000,True,0.8020,-0.2600,0.0099,1.1880
43,0.0,0.2200,-0.0113,False,False,False,2.0268,4.6934,1.9794,-1.9611,-1.5570,-0.0013,-0.0449,-0.0297,0.0298,0.0266,0.0602,-0.0347,0.2581,-0.3236,0.3478,0.1473,-0.1748,0.4167,0.0005,0.0000,0.0000,0.0000,False,-0.0266,-0.0788,0.0198,0.0244,0.0654,0.0102,0.0935,grasp,-0.1748,0.4167,0.0005,0.0000,0.0000,0.0000,False,,0.0500,0.0000,True,0.8020,-0.2600,0.0099,1.1880
44,0.0,0.2204,-0.0126,False,False,False,2.0268,4.6934,1.9794,-1.9611,-1.5570,-0.0013,-0.0449,-0.0297,0.0298,0.0266,0.0602,-0.0347,0.2581,-0.3236,0.3478,0.1473,-0.1746,0.4172,0.0005,0.0000,0.0000,0.0000,False,0.0398,0.0563,0.0232,0.0472,0.0611,0.0116,-1.7532,grasp,-0.1746,0.4172,0.0005,0.0000,0.0000,0.0000,False,,0.0500,0.0000,False,0.8020,-0.2600,0.0099,1.1880
45,0.0,0.2205,-0.0113,False,False,False,2.0273,4.6939,1.9794,-1.9617,-1.5570,-0.0017,0.0530,0.0488,-0.0091,-0.0643,0.0040,-0.0406,0.2759,-0.3235,0.3477,0.1476,-0.1746,0.4172,0.0005,0.0000,0.0000,0.0000,False,0.0530,0.0488,-0.0091,-0.0643,0.0040,-0.0406,-0.5690,grasp,-0.1746,0.4172,0.0005,0.0000,0.0000,0.0000,False,,0.0500,0.0000,False,0.8020,-0.2600,0.0099,1.1880
46,0.0,0.2205,-0.0081,False,False,False,2.0285,4.6946,1.9789,-1.9630,-1.5573,-0.0031,0.0103,-0.0226,-0.0294,-0.0020,-0.0424,-0.0644,0.3211,-0.3235,0.3477,0.1476,-0.1746,0.4172,0.0005,0.0000,0.0000,0.0000,False,0.0113,-0.0217,-0.0295,-0.0032,-0.0423,-0.0652,1.9013,grasp,-0.1746,0.4172,0.0005,0.0000,0.0000,0.0000,False,,0.0500,0.0000,True,0.8020,-0.2600,0.0099,1.1880
47,0.0,0.2194,-0.0017,False,False,False,2.0287,4.6942,1.9783,-1.9630,-1.5582,-0.0044,0.0000,0.0000,0.0000,0.0000,-0.0000,0.0000,0.3608,-0.3243,0.3482,0.1452,-0.1746,0.4172,0.0005,0.0000,0.0000,0.0000,False,-0.0793,-0.0620,0.0582,-0.0683,0.0034,0.0187,1.9133,grasp,-0.1746,0.4172,0.0005,0.0000,0.0000,0.0000,False,,0.0500,0.0000,True,0.8020,-0.2600,0.0099,1.1880
48,0.0,0.2194,-0.0023,False,False,False,2.0287,4.6942,1.9783,-1.9630,-1.5582,-0.0044,0.0000,0.0000,0.0000,0.0000,-0.0000,0.0000,0.3608,-0.3243,0.3482,0.1452,-0.1746,0.4172,0.0005,0.0000,0.0000,0.0000,False,0.0515,0.0729,0.0603,0.0125,-0.0796,0.0035,-2.6526,grasp,-0.1746,0.4172,0.0005,0.0000,0.0000,0.0000,False,,0.0500,0.0000,False,0.8020,-0.2600,0.0099,1.1880
49,0.0,0.2194,-0.0145,False,False,False,2.0279,4.6936,1.9789,-1.9637,-1.5581,-0.0042,-0.0795,-0.0616,0.0588,-0.0683,0.0043,0.0199,0.3808,-0.3243,0.3482,0.1452,-0.1746,0.4172,0.0005,0.0000,0.0000,0.0000,False,-0.0592,0.0477,-0.0259,-0.0396,0.0257,-0.0094,2.0276,grasp,-0.1746,0.4172,0.0005,0.0000,0.0000,0.0000,False,,0.0500,0.0000,True,0.8020,-0.2600,0.0099,1.1880
50,0.0,0.2191,-0.0152,False,False,False,2.0279,4.6936,1.9789,-1.9637,-1.5581,-0.0042,-0.0795,-0.0616,0.0588,-0.0683,0.0043,0.0199,0.3808,-0.3243,0.3482,0.1452,-0.1756,0.4186,0.0006,0.0000,0.0000,0.0000,False,-0.0607,-0.0546,0.0560,-0.0662,0.0348,0.0786,2.7740,grasp,-0.1756,0.4186,0.0006,0.0000,0.0000,0.0000,False,,0.0500,0.0000,True,0.8020,-0.2600,0.0099,1.1880
51,0.0,0.2166,-0.0138,False,False,False,2.0279,4.6941,1.9804,-1.9633,-1.5591,-0.0027,0.0039,0.0359,0.0996,0.0259,-0.0672,0.0985,0.4599,-0.3239,0.3482,0.1419,-0.1756,0.4186,0.0006,0.0000,0.0000,0.0000,False,0.0021,0.0189,0.0524,0.0136,-0.0354,0.0519,2.0861,grasp,-0.1756,0.4186,0.0006,0.0000,0.0000,0.0000,False,,0.0500,0.0000,True,0.8020,-0.2600,0.0099,1.1880
52,0.0,0.2166,-0.0090,False,False,False,2.0281,4.6946,1.9818,-1.9635,-1.5606,-0.0009,0.0129,-0.0108,-0.0118,-0.0561,-0.0472,0.0329,0.5195,-0.3239,0.3482,0.1419,-0.1756,0.4186,0.0006,0.0000,0.0000,0.0000,False,0.0129,-0.0101,-0.0100,-0.0557,-0.0481,0.0343,-1.4874,grasp,-0.1756,0.4186,0.0006,0.0000,0.0000,0.0000,False,,0.0500,0.0000,False,0.8020,-0.2600,0.0099,1.1880
