Global_Step,Curriculum_Lvl,Dist_to_Target,Reward,Terminated,Table_Collision,Self_Collision,J1_Pos,J2_Pos,J3_Pos,J4_Pos,J5_Pos,J6_Pos,J1_Vel,J2_Vel,J3_Vel,J4_Vel,J5_Vel,J6_Vel,Gripper_Pos,EE_X,EE_Y,EE_Z,Target_X,Target_Y,Target_Z,Handoff_X,Handoff_Y,Handoff_Z,Handoff_OK,Act_J1,Act_J2,Act_J3,Act_J4,Act_J5,Act_J6,Act_Gripper,Phase,Goal_X,Goal_Y,Goal_Z,Transport_X,Transport_Y,Transport_Z,Transport_OK,Placement_Error_M,Standoff_M,Spawn_Radius_M,Contact_Detected,GT_X,GT_Y,GT_Z,Perception_Error_M
1,0.0,0.1773,-5.0080,True,False,False,0.5557,4.7320,0.6702,-1.5601,-0.6916,0.8844,-0.0000,0.1315,0.0000,0.0000,-0.0000,0.0000,0.0200,0.2170,0.5173,0.8765,0.2993,0.3920,0.9711,0.0000,0.0000,0.0000,False,-0.0568,-0.0149,-0.0387,-0.0438,0.0222,-0.0797,-0.3942,grasp,0.2993,0.3920,0.9711,0.0000,0.0000,0.0000,False,,0.0500,0.0000,False,0.8020,-0.2600,0.0099,1.2656
2,0.0,0.5475,-4.9727,True,False,False,1.3514,4.7096,1.3786,-1.7880,-1.1617,0.3981,0.1132,-0.0000,0.0000,0.0000,0.0000,-0.0000,0.0200,-0.1074,0.6170,0.4740,-0.0295,0.6792,-0.0643,0.0000,0.0000,0.0000,False,0.0049,0.0055,0.0217,0.0564,-0.0737,-0.0502,3.1393,grasp,-0.0295,0.6792,-0.0643,0.0000,0.0000,0.0000,False,,0.0500,0.0000,True,0.8020,-0.2600,0.0100,1.2566
3,0.0,0.5781,-4.9962,True,False,False,1.6709,4.7035,1.6675,-1.8594,-1.3700,0.2011,-0.0652,-0.0251,-0.0278,0.0538,0.0429,0.0561,0.0344,-0.2418,0.5173,0.3062,-0.6951,0.5921,-0.0447,0.0000,0.0000,0.0000,False,-0.0434,-0.0253,-0.0117,0.0517,0.0391,0.0523,-1.7188,grasp,-0.6951,0.5921,-0.0447,0.0000,0.0000,0.0000,False,,0.0500,0.0000,False,0.8020,-0.2600,0.0099,1.7234
4,0.0,0.2951,-5.0095,True,False,False,1.8488,4.6950,1.8276,-1.9084,-1.4650,0.1088,0.0280,-0.0408,0.0716,0.0302,-0.0434,0.0489,0.0397,-0.2937,0.4362,0.2282,-0.1214,0.4764,-0.0080,0.0000,0.0000,0.0000,False,0.0353,-0.0408,0.0773,0.0289,-0.0455,0.0467,1.1158,grasp,-0.1214,0.4764,-0.0080,0.0000,0.0000,0.0000,False,,0.0500,0.0000,True,0.8020,-0.2600,0.0100,1.1812
5,0.0,0.2688,-5.0034,True,False,False,1.9165,4.6914,1.8892,-1.9280,-1.5046,0.0756,0.0000,0.0000,0.0000,0.0000,-0.0000,0.0000,0.0204,-0.3049,0.4048,0.2052,-0.1411,0.4500,-0.0032,0.0000,0.0000,0.0000,False,0.0121,-0.0697,-0.0477,0.0423,-0.0504,-0.0682,0.7594,grasp,-0.1411,0.4500,-0.0032,0.0000,0.0000,0.0000,False,,0.0500,0.0000,True,0.8020,-0.2600,0.0099,1.1806
6,0.0,0.2582,-5.0120,True,False,False,1.9600,4.6879,1.9211,-1.9405,-1.5303,0.0464,0.0781,-0.0360,0.0139,0.0303,-0.0053,0.0619,0.0407,-0.3125,0.3842,0.1911,-0.1514,0.4406,-0.0026,0.0000,0.0000,0.0000,False,0.0793,-0.0359,0.0149,0.0298,-0.0059,0.0612,-1.4192,grasp,-0.1514,0.4406,-0.0026,0.0000,0.0000,0.0000,False,,0.0500,0.0000,False,0.8020,-0.2600,0.0099,1.1832
7,0.0,0.2501,-5.0011,True,False,False,1.9866,4.6861,1.9393,-1.9456,-1.5406,0.0409,0.0000,0.0000,0.0000,0.0000,-0.0000,0.0000,0.0212,-0.3180,0.3706,0.1834,-0.1604,0.4302,-0.0015,0.0000,0.0000,0.0000,False,0.0776,-0.0720,0.0439,-0.0549,-0.0123,0.0343,0.4415,grasp,-0.1604,0.4302,-0.0015,0.0000,0.0000,0.0000,False,,0.0500,0.0000,True,0.8020,-0.2600,0.0099,1.1844
8,0.0,0.2434,-5.0139,True,False,False,2.0097,4.6839,1.9596,-1.9585,-1.5524,0.0295,0.0260,-0.0632,0.0031,-0.0292,-0.0698,0.0468,0.0411,-0.3217,0.3597,0.1754,-0.1675,0.4245,-0.0015,0.0000,0.0000,0.0000,False,0.0264,-0.0631,0.0036,-0.0294,-0.0701,0.0464,0.7670,grasp,-0.1675,0.4245,-0.0015,0.0000,0.0000,0.0000,False,,0.0500,0.0000,True,0.8020,-0.2600,0.0099,1.1869
9,0.0,0.2420,-5.0020,True,False,False,2.0221,4.6824,1.9705,-1.9658,-1.5643,0.0232,0.0000,0.0000,0.0000,0.0000,-0.0000,0.0000,0.0212,-0.3220,0.3548,0.1719,-0.1676,0.4231,-0.0016,0.0000,0.0000,0.0000,False,0.0598,0.0649,-0.0139,0.0268,0.0623,-0.0635,1.9395,grasp,-0.1676,0.4231,-0.0016,0.0000,0.0000,0.0000,False,,0.0500,0.0000,True,0.8020,-0.2600,0.0099,1.1861
10,0.0,0.2273,-0.0046,False,False,False,2.0394,4.6995,1.9719,-1.9614,-1.5519,0.0039,0.0007,-0.0067,0.0236,-0.0144,-0.0237,-0.0048,0.0007,-0.3305,0.3460,0.1629,-0.1874,0.4143,0.0001,0.0000,0.0000,0.0000,False,-0.0765,-0.0192,-0.0428,0.0055,0.0574,0.0133,2.1258,grasp,-0.1874,0.4143,0.0001,0.0000,0.0000,0.0000,False,,0.0500,0.0000,True,0.8020,-0.2600,0.0338,1.1978
