Global_Step,Curriculum_Lvl,Dist_to_Target,Reward,Terminated,Table_Collision,Self_Collision,J1_Pos,J2_Pos,J3_Pos,J4_Pos,J5_Pos,J6_Pos,J1_Vel,J2_Vel,J3_Vel,J4_Vel,J5_Vel,J6_Vel,Gripper_Pos,EE_X,EE_Y,EE_Z,Target_X,Target_Y,Target_Z,Handoff_X,Handoff_Y,Handoff_Z,Handoff_OK,Act_J1,Act_J2,Act_J3,Act_J4,Act_J5,Act_J6,Act_Gripper,Phase,Goal_X,Goal_Y,Goal_Z,Transport_X,Transport_Y,Transport_Z,Transport_OK,Placement_Error_M,Standoff_M,Spawn_Radius_M,Contact_Detected
1,0.0,0.0439,-0.0252,False,False,False,5.8062,5.7048,0.7618,-1.7683,-1.5932,1.0893,0.0413,-0.1081,0.1167,-0.0434,0.0336,-0.1323,0.0210,0.8081,-0.2798,0.0488,0.8020,-0.2600,0.0100,0.8020,-0.2600,0.2300,True,0.0228,-0.0567,0.0616,-0.0229,0.0175,-0.0697,-2.5328,grasp,0.8020,-0.2600,0.0100,0.0000,0.0000,0.0000,False,,0.0500,0.0000,False
2,0.0,0.0574,-0.0315,False,False,False,5.8281,5.6491,0.8221,-1.7901,-1.5754,1.0212,0.0605,-0.0554,0.0668,0.0449,0.0663,-0.0498,0.0940,0.7946,-0.2560,0.0668,0.8020,-0.2600,0.0100,0.8020,-0.2600,0.2300,True,0.0605,-0.0554,0.0668,0.0449,0.0663,-0.0498,-1.8498,grasp,0.8020,-0.2600,0.0100,0.0000,0.0000,0.0000,False,,0.0500,0.0000,False
3,0.0,0.0490,-0.0247,False,False,False,5.8292,5.6480,0.8234,-1.7892,-1.5741,1.0202,0.1152,-0.1052,0.1269,0.0853,0.1260,-0.0946,0.1011,0.7938,-0.2533,0.0579,0.8020,-0.2600,0.0100,0.8020,-0.2600,0.2300,True,0.0725,-0.0076,-0.0710,0.0211,-0.0499,0.0668,-0.1187,grasp,0.8020,-0.2600,0.0100,0.0000,0.0000,0.0000,False,,0.0500,0.0000,False
4,0.0,0.0449,0.0001,False,False,False,5.8294,5.6480,0.8234,-1.7892,-1.5741,1.0202,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.1411,0.7932,-0.2534,0.0535,0.8020,-0.2600,0.0100,0.8020,-0.2600,0.2300,True,-0.0500,0.0610,0.0553,-0.0055,-0.0500,-0.0075,-1.6634,grasp,0.8020,-0.2600,0.0100,0.0000,0.0000,0.0000,False,,0.0500,0.0000,False
5,0.0,0.0399,-0.0077,False,False,False,5.7796,5.6503,0.8782,-1.8209,-1.5227,1.0130,0.0428,0.0347,-0.0485,0.0709,-0.0410,0.0266,0.1824,0.7929,-0.2531,0.0482,0.8020,-0.2600,0.0100,0.8020,-0.2600,0.2300,True,0.0428,0.0704,-0.0485,0.0065,0.0494,0.0266,-1.9023,grasp,0.8020,-0.2600,0.0100,0.0000,0.0000,0.0000,False,,0.0500,0.0000,False
6,0.0,0.0391,14.9882,True,False,False,5.7796,5.6503,0.8782,-1.8209,-1.5227,1.0130,0.0428,0.0347,-0.0485,0.0709,-0.0410,0.0266,0.1824,0.7928,-0.2531,0.0474,0.8020,-0.2600,0.0100,0.8020,-0.2600,0.2300,True,-0.0025,-0.0502,-0.0719,-0.0226,0.0471,-0.0074,1.2729,grasp,0.8020,-0.2600,0.0100,0.0000,0.0000,0.0000,False,,0.0500,0.0000,True
7,0.0,0.0486,14.9876,True,False,False,-3.2935,3.7876,-0.7798,-1.4237,-4.7461,1.4586,-0.0747,-0.0146,0.0424,0.0373,-0.0486,0.0540,0.0400,0.8002,-0.2661,0.0910,0.8020,-0.2600,0.0427,0.8020,-0.2600,0.2627,True,-0.0753,-0.0148,0.0423,0.0373,-0.0494,0.0540,1.6915,grasp,0.8020,-0.2600,0.0427,0.0000,0.0000,0.0000,False,,0.0500,0.0000,True
8,0.0,0.0484,-0.0061,False,False,False,-3.2839,3.0089,0.7734,-2.2034,-4.6527,1.4576,-0.0621,-0.0383,0.0219,-0.0202,-0.0998,-0.0004,0.0000,0.8131,-0.2328,0.0661,0.8020,-0.2600,0.0277,0.8020,-0.2600,0.2477,True,0.0754,-0.0079,0.0318,0.0527,-0.0578,0.0229,-0.0793,grasp,0.8020,-0.2600,0.0277,0.0000,0.0000,0.0000,False,,0.0500,0.0000,False
9,0.0,0.0445,-0.0127,False,False,False,-3.2837,3.0083,0.7738,-2.2018,-4.6538,1.4558,0.0522,-0.0141,0.0091,0.1170,-0.0151,-0.1134,0.0598,0.8126,-0.2348,0.0628,0.8020,-0.2600,0.0277,0.8020,-0.2600,0.2477,True,0.0268,-0.0078,0.0050,0.0614,-0.0088,-0.0597,-0.0419,grasp,0.8020,-0.2600,0.0277,0.0000,0.0000,0.0000,False,,0.0500,0.0000,False
10,0.0,0.0445,-0.0139,False,False,False,-3.2830,3.0075,0.7746,-2.2003,-4.6532,1.4544,-0.0061,-0.0593,0.0683,-0.0174,0.0777,0.0147,0.1186,0.8126,-0.2348,0.0628,0.8020,-0.2600,0.0277,0.8020,-0.2600,0.2477,True,-0.0050,-0.0595,0.0684,-0.0157,0.0775,0.0131,-0.8739,grasp,0.8020,-0.2600,0.0277,0.0000,0.0000,0.0000,False,,0.0500,0.0000,False
