Global_Step,Curriculum_Lvl,Dist_to_Target,Reward,Terminated,Table_Collision,Self_Collision,J1_Pos,J2_Pos,J3_Pos,J4_Pos,J5_Pos,J6_Pos,J1_Vel,J2_Vel,J3_Vel,J4_Vel,J5_Vel,J6_Vel,Gripper_Pos,EE_X,EE_Y,EE_Z,Target_X,Target_Y,Target_Z,Handoff_X,Handoff_Y,Handoff_Z,Handoff_OK,Act_J1,Act_J2,Act_J3,Act_J4,Act_J5,Act_J6,Act_Gripper,Phase,Goal_X,Goal_Y,Goal_Z,Transport_X,Transport_Y,Transport_Z,Transport_OK,Placement_Error_M,Standoff_M,Spawn_Radius_M,Contact_Detected,GT_X,GT_Y,GT_Z,Perception_Error_M
1,0.0,1.1444,-0.0026,False,False,False,-0.4513,4.7557,-0.2256,-1.2844,-0.1041,1.4753,0.0000,-0.0000,-0.0000,0.0000,-0.0000,0.0000,0.0200,0.1657,0.3734,1.0690,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,False,0.0777,-0.0190,0.0247,0.0019,0.0379,0.0455,-0.5858,grasp,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,False,,0.0500,0.0000,False,0.8020,-0.2600,0.0100,0.8432
2,0.0,1.1444,-0.0022,False,False,False,-0.4505,4.7555,-0.2254,-1.2843,-0.1037,1.4757,0.0000,-0.0000,-0.0000,0.0000,-0.0000,0.0000,0.0596,0.1657,0.3734,1.0690,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,False,-0.0603,0.0490,0.0262,0.0051,0.0579,0.0237,-0.7443,grasp,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,False,,0.0500,0.0000,False,0.8020,-0.2600,0.0100,0.8432
3,0.0,1.1461,-0.0129,False,False,False,-0.4511,4.7560,-0.2251,-1.2843,-0.1032,1.4760,-0.0611,0.0492,0.0259,0.0051,0.0575,0.0232,0.0796,0.1684,0.3775,1.0690,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,False,-0.0125,0.0244,0.0385,-0.0517,-0.0800,-0.0451,2.0880,grasp,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,False,,0.0500,0.0000,True,0.8020,-0.2600,0.0100,0.8432
4,0.0,1.1461,-0.0171,False,False,False,-0.4518,4.7570,-0.2269,-1.2841,-0.1027,1.4766,-0.0442,0.0676,-0.1182,0.0106,0.0275,0.0402,0.1591,0.1684,0.3775,1.0690,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,False,-0.0233,0.0356,-0.0622,0.0056,0.0145,0.0212,-1.9993,grasp,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,False,,0.0500,0.0000,False,0.8020,-0.2600,0.0100,0.8432
5,0.0,1.1479,-0.0148,False,False,False,-0.4528,4.7580,-0.2279,-1.2846,-0.1027,1.4766,-0.0383,0.0026,0.0711,-0.0577,-0.0346,-0.0552,0.2189,0.1717,0.3819,1.0688,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,False,-0.0389,0.0036,0.0694,-0.0576,-0.0342,-0.0546,2.4869,grasp,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,False,,0.0500,0.0000,True,0.8020,-0.2600,0.0100,0.8432
6,0.0,1.1479,-0.0149,False,False,False,-0.4528,4.7580,-0.2279,-1.2846,-0.1027,1.4766,-0.0383,0.0026,0.0711,-0.0577,-0.0346,-0.0552,0.2189,0.1717,0.3819,1.0688,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,False,-0.0247,-0.0577,-0.0014,-0.0389,0.0625,-0.0290,2.8280,grasp,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,False,,0.0500,0.0000,True,0.8020,-0.2600,0.0100,0.8432
7,0.0,1.1496,-0.0134,False,False,False,-0.4539,4.7585,-0.2263,-1.2853,-0.1040,1.4752,-0.0356,0.0433,0.0244,0.0406,-0.0629,-0.0351,0.2782,0.1764,0.3846,1.0689,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,False,-0.0364,0.0437,0.0258,0.0395,-0.0636,-0.0361,3.0878,grasp,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,False,,0.0500,0.0000,True,0.8020,-0.2600,0.0100,0.8432
8,0.0,1.1496,-0.0235,False,False,False,-0.4546,4.7593,-0.2258,-1.2845,-0.1052,1.4745,-0.0677,0.0830,0.0464,0.0770,-0.1196,-0.0667,0.2981,0.1764,0.3846,1.0689,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,False,0.0728,-0.0249,0.0282,-0.0039,-0.0486,0.0454,1.6820,grasp,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,False,,0.0500,0.0000,True,0.8020,-0.2600,0.0100,0.8432
9,0.0,1.1496,-0.0121,False,False,False,-0.4540,4.7596,-0.2256,-1.2850,-0.1057,1.4743,0.0538,0.0073,0.0253,-0.0540,-0.0572,-0.0217,0.3569,0.1764,0.3846,1.0689,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,False,0.0538,0.0075,0.0253,-0.0540,-0.0572,-0.0217,1.7354,grasp,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,False,,0.0500,0.0000,True,0.8020,-0.2600,0.0100,0.8432
10,0.0,1.1508,-0.0171,False,False,False,-0.4536,4.7592,-0.2258,-1.2859,-0.1076,1.4738,-0.0561,-0.0504,-0.0696,0.0142,-0.0761,-0.0087,0.4166,0.1800,0.3867,1.0688,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,False,-0.0550,-0.0502,-0.0692,0.0132,-0.0772,-0.0091,2.7131,grasp,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,False,,0.0500,0.0000,True,0.8020,-0.2600,0.0100,0.8432
