Global_Step,Curriculum_Lvl,Dist_to_Target,Reward,Terminated,Table_Collision,Self_Collision,J1_Pos,J2_Pos,J3_Pos,J4_Pos,J5_Pos,J6_Pos,J1_Vel,J2_Vel,J3_Vel,J4_Vel,J5_Vel,J6_Vel,Gripper_Pos,EE_X,EE_Y,EE_Z,Target_X,Target_Y,Target_Z,Handoff_X,Handoff_Y,Handoff_Z,Handoff_OK,Act_J1,Act_J2,Act_J3,Act_J4,Act_J5,Act_J6,Act_Gripper,Phase,Goal_X,Goal_Y,Goal_Z,Transport_X,Transport_Y,Transport_Z,Transport_OK,Placement_Error_M,Standoff_M,Spawn_Radius_M,Contact_Detected,GT_X,GT_Y,GT_Z,Perception_Error_M
1,0.0,1.3038,-0.0336,False,False,False,0.4716,4.7351,0.6005,-1.5442,-0.6497,0.9265,-0.2815,0.0426,-0.0698,-0.1727,-0.0672,-0.0727,0.1000,0.2195,0.5143,0.8822,0.8020,-0.2600,0.0099,0.0000,0.0000,0.0000,False,-0.0402,0.0146,0.0172,-0.0571,-0.0341,-0.0358,-0.1322,grasp,0.8020,-0.2600,0.0099,0.0000,0.0000,0.0000,False,,0.0500,0.0000,False,0.0000,0.0000,0.0000,
2,0.0,1.3019,-0.0098,False,False,False,0.4677,4.7358,0.5995,-1.5469,-0.6504,0.9253,-0.0652,0.0049,-0.0333,-0.0710,0.0093,-0.0307,0.1279,0.2268,0.5171,0.8818,0.8020,-0.2600,0.0099,0.0000,0.0000,0.0000,False,-0.0692,0.0057,-0.0340,-0.0730,0.0085,-0.0316,-1.8739,grasp,0.8020,-0.2600,0.0099,0.0000,0.0000,0.0000,False,,0.0500,0.0000,False,0.0000,0.0000,0.0000,
3,0.0,1.3019,-0.0078,False,False,False,0.4660,4.7356,0.5986,-1.5478,-0.6502,0.9247,-0.0494,-0.0263,-0.0226,0.0497,0.0034,-0.0031,0.1496,0.2268,0.5171,0.8818,0.8020,-0.2600,0.0099,0.0000,0.0000,0.0000,False,-0.0506,-0.0262,-0.0233,0.0484,0.0036,-0.0037,-1.3519,grasp,0.8020,-0.2600,0.0099,0.0000,0.0000,0.0000,False,,0.0500,0.0000,False,0.0000,0.0000,0.0000,
4,0.0,1.3021,-0.0104,False,False,False,0.4646,4.7343,0.5982,-1.5461,-0.6503,0.9235,-0.0296,-0.0512,0.0030,0.0486,-0.0163,-0.0695,0.1324,0.2278,0.5179,0.8821,0.8020,-0.2600,0.0099,0.0000,0.0000,0.0000,False,-0.0165,-0.0275,0.0011,0.0265,-0.0085,-0.0366,-2.6309,grasp,0.8020,-0.2600,0.0099,0.0000,0.0000,0.0000,False,,0.0500,0.0000,False,0.0000,0.0000,0.0000,
5,0.0,1.3016,-0.0081,False,False,False,0.4637,4.7337,0.5980,-1.5450,-0.6502,0.9226,-0.0419,0.0161,-0.0282,0.0420,0.0345,0.0080,0.1656,0.2273,0.5155,0.8831,0.8020,-0.2600,0.0099,0.0000,0.0000,0.0000,False,-0.0424,0.0152,-0.0282,0.0427,0.0343,0.0070,2.2828,grasp,0.8020,-0.2600,0.0099,0.0000,0.0000,0.0000,False,,0.0500,0.0000,True,0.0000,0.0000,0.0000,
6,0.0,1.3016,-0.0103,False,False,False,0.4628,4.7344,0.5976,-1.5435,-0.6498,0.9222,-0.0088,0.0407,0.0191,0.0674,-0.0186,-0.0619,0.2254,0.2273,0.5155,0.8831,0.8020,-0.2600,0.0099,0.0000,0.0000,0.0000,False,-0.0096,0.0410,0.0185,0.0682,-0.0179,-0.0617,2.5454,grasp,0.8020,-0.2600,0.0099,0.0000,0.0000,0.0000,False,,0.0500,0.0000,True,0.0000,0.0000,0.0000,
7,0.0,1.3023,-0.0227,False,False,False,0.4628,4.7343,0.5997,-1.5435,-0.6486,0.9218,0.0082,-0.0667,0.1139,-0.0802,0.0996,0.0523,0.2123,0.2285,0.5201,0.8809,0.8020,-0.2600,0.0099,0.0000,0.0000,0.0000,False,0.0041,-0.0339,0.0603,-0.0409,0.0521,0.0264,-2.2487,grasp,0.8020,-0.2600,0.0099,0.0000,0.0000,0.0000,False,,0.0500,0.0000,False,0.0000,0.0000,0.0000,
8,0.0,1.3020,-0.0166,False,False,False,0.4622,4.7340,0.6006,-1.5449,-0.6470,0.9231,-0.0771,0.0707,-0.0798,-0.0268,0.0187,0.0526,0.2258,0.2281,0.5195,0.8807,0.8020,-0.2600,0.0099,0.0000,0.0000,0.0000,False,-0.0770,0.0698,-0.0781,-0.0280,0.0201,0.0534,-0.5864,grasp,0.8020,-0.2600,0.0099,0.0000,0.0000,0.0000,False,,0.0500,0.0000,False,0.0000,0.0000,0.0000,
9,0.0,1.3022,-0.0145,False,False,False,0.4613,4.7349,0.5994,-1.5457,-0.6470,0.9248,0.0566,-0.0525,0.0398,-0.0359,-0.0407,0.0773,0.2464,0.2296,0.5213,0.8803,0.8020,-0.2600,0.0099,0.0000,0.0000,0.0000,False,0.0552,-0.0503,0.0383,-0.0364,-0.0404,0.0783,-0.8503,grasp,0.8020,-0.2600,0.0099,0.0000,0.0000,0.0000,False,,0.0500,0.0000,False,0.0000,0.0000,0.0000,
10,0.0,1.3022,-0.0113,False,False,False,0.4624,4.7337,0.5994,-1.5468,-0.6475,0.9268,0.0114,-0.0206,-0.0776,-0.0345,0.0305,0.0493,0.2658,0.2296,0.5213,0.8803,0.8020,-0.2600,0.0099,0.0000,0.0000,0.0000,False,0.0125,-0.0221,-0.0768,-0.0352,0.0298,0.0508,-0.5558,grasp,0.8020,-0.2600,0.0099,0.0000,0.0000,0.0000,False,,0.0500,0.0000,False,0.0000,0.0000,0.0000,
11,0.0,1.3058,-0.0133,False,False,False,0.4633,4.7327,0.5956,-1.5479,-0.6463,0.9294,0.0339,0.0179,-0.0248,0.0415,-0.0219,0.0351,0.3178,0.2263,0.5218,0.8830,0.8020,-0.2600,0.0099,0.0000,0.0000,0.0000,False,0.0344,0.0147,-0.0284,0.0399,-0.0205,0.0374,2.8404,grasp,0.8020,-0.2600,0.0099,0.0000,0.0000,0.0000,False,,0.0500,0.0000,True,0.0000,0.0000,0.0000,
