Global_Step,Curriculum_Lvl,Dist_to_Target,Reward,Terminated,Table_Collision,Self_Collision,J1_Pos,J2_Pos,J3_Pos,J4_Pos,J5_Pos,J6_Pos,J1_Vel,J2_Vel,J3_Vel,J4_Vel,J5_Vel,J6_Vel,Gripper_Pos,EE_X,EE_Y,EE_Z,Target_X,Target_Y,Target_Z,Handoff_X,Handoff_Y,Handoff_Z,Handoff_OK,Act_J1,Act_J2,Act_J3,Act_J4,Act_J5,Act_J6,Act_Gripper,Phase,Goal_X,Goal_Y,Goal_Z,Transport_X,Transport_Y,Transport_Z,Transport_OK,Placement_Error_M,Standoff_M,Spawn_Radius_M,Contact_Detected,GT_X,GT_Y,GT_Z,Perception_Error_M
1,0.0,0.0447,-0.0148,False,False,False,-0.4648,5.6547,0.8414,-1.7671,-1.5582,1.1387,0.0256,0.0408,-0.0733,0.0329,-0.0551,0.0690,0.0400,0.7965,-0.2462,0.0521,0.8020,-0.2600,0.0099,0.8020,-0.2600,0.2299,True,0.0256,0.0417,-0.0728,0.0327,-0.0558,0.0688,-1.1220,grasp,0.8020,-0.2600,0.0099,0.0000,0.0000,0.0000,False,,0.0500,0.0000,False,0.0000,0.0000,0.0000,
2,0.0,0.0395,0.0035,False,False,False,-0.4643,5.6555,0.8400,-1.7665,-1.5593,1.1400,0.0000,0.0000,0.0000,0.0000,0.0000,-0.0000,0.0800,0.7965,-0.2462,0.0465,0.8020,-0.2600,0.0099,0.8020,-0.2600,0.2299,True,0.0147,-0.0170,-0.0401,-0.0719,0.0226,-0.0470,-1.7374,grasp,0.8020,-0.2600,0.0099,0.0000,0.0000,0.0000,False,,0.0500,0.0000,False,0.0000,0.0000,0.0000,
3,0.0,0.0395,-0.0099,False,False,False,-0.4642,5.6553,0.8396,-1.7672,-1.5590,1.1395,0.0142,-0.0178,-0.0387,-0.0726,0.0236,-0.0483,0.1000,0.7965,-0.2462,0.0465,0.8020,-0.2600,0.0099,0.8020,-0.2600,0.2299,True,0.0309,0.0242,0.0585,0.0527,-0.0560,0.0602,-2.9674,grasp,0.8020,-0.2600,0.0099,0.0000,0.0000,0.0000,False,,0.0500,0.0000,False,0.0000,0.0000,0.0000,
4,0.0,0.0395,14.9889,True,False,False,-0.4642,5.6553,0.8396,-1.7672,-1.5590,1.1395,0.0142,-0.0178,-0.0387,-0.0726,0.0236,-0.0483,0.1000,0.7965,-0.2462,0.0465,0.8020,-0.2600,0.0099,0.8020,-0.2600,0.2299,True,0.0720,-0.0108,0.0028,-0.0348,0.0494,-0.0485,0.4262,grasp,0.8020,-0.2600,0.0099,0.0000,0.0000,0.0000,False,,0.0500,0.0000,True,0.0000,0.0000,0.0000,
5,0.0,0.7658,-0.0408,False,False,False,-0.4508,5.1593,0.2753,-1.5144,-0.7841,1.3128,0.0563,-0.5330,0.0613,-0.0196,-0.0677,-0.0623,0.0401,0.7551,-0.0066,0.7378,0.8020,-0.2600,0.0167,0.8020,-0.2600,0.2367,False,0.0563,0.0080,0.0459,-0.0147,-0.0521,-0.0588,3.0545,grasp,0.8020,-0.2600,0.0167,0.0000,0.0000,0.0000,False,,0.0500,0.0000,True,0.0000,0.0000,0.0000,
6,0.0,0.8083,-0.0560,False,False,False,-0.4501,5.1554,0.2768,-1.5149,-0.7857,1.3113,-0.0432,-0.0738,0.0366,-0.0127,-0.0251,-0.0386,0.1001,0.7315,0.0149,0.7735,0.8020,-0.2600,0.0167,0.8020,-0.2600,0.2367,False,-0.0419,-0.0777,0.0377,-0.0131,-0.0264,-0.0398,1.9008,grasp,0.8020,-0.2600,0.0167,0.0000,0.0000,0.0000,False,,0.0500,0.0000,True,0.0000,0.0000,0.0000,
7,0.0,0.8083,-0.0114,False,False,False,-0.4516,5.1538,0.2778,-1.5158,-0.7855,1.3104,-0.0672,-0.0099,0.0346,-0.0646,0.0654,-0.0134,0.1601,0.7315,0.0149,0.7735,0.8020,-0.2600,0.0167,0.8020,-0.2600,0.2367,False,-0.0680,-0.0121,0.0353,-0.0649,0.0649,-0.0142,-0.1223,grasp,0.8020,-0.2600,0.0167,0.0000,0.0000,0.0000,False,,0.0500,0.0000,False,0.0000,0.0000,0.0000,
8,0.0,0.8069,-0.0243,False,False,False,-0.4529,5.1536,0.2785,-1.5170,-0.7843,1.3102,-0.1277,-0.0197,0.0658,-0.1228,0.1242,-0.0255,0.1801,0.7349,0.0163,0.7718,0.8020,-0.2600,0.0167,0.8020,-0.2600,0.2367,False,0.0508,-0.0506,0.0675,0.0470,0.0071,0.0774,0.4899,grasp,0.8020,-0.2600,0.0167,0.0000,0.0000,0.0000,False,,0.0500,0.0000,True,0.0000,0.0000,0.0000,
9,0.0,0.8069,-0.0021,False,False,False,-0.4524,5.1531,0.2791,-1.5165,-0.7842,1.3109,0.0000,0.0000,0.0000,0.0000,-0.0000,0.0000,0.2401,0.7349,0.0163,0.7718,0.8020,-0.2600,0.0167,0.8020,-0.2600,0.2367,False,0.0202,-0.0494,-0.0787,0.0287,0.0565,-0.0248,1.8677,grasp,0.8020,-0.2600,0.0167,0.0000,0.0000,0.0000,False,,0.0500,0.0000,True,0.0000,0.0000,0.0000,
10,0.0,0.8060,-0.0133,False,False,False,-0.4519,5.1528,0.2790,-1.5155,-0.7842,1.3113,0.0311,0.0169,0.0629,0.0687,-0.0572,0.0609,0.2862,0.7380,0.0185,0.7703,0.8020,-0.2600,0.0167,0.8020,-0.2600,0.2367,False,0.0313,0.0160,0.0621,0.0690,-0.0566,0.0607,-0.0178,grasp,0.8020,-0.2600,0.0167,0.0000,0.0000,0.0000,False,,0.0500,0.0000,False,0.0000,0.0000,0.0000,
11,0.0,0.8031,-0.0095,False,False,False,-0.4510,5.1537,0.2798,-1.5139,-0.7855,1.3117,0.0296,0.0460,-0.0339,0.0297,-0.0211,-0.0736,0.3185,0.7405,0.0195,0.7670,0.8020,-0.2600,0.0167,0.8020,-0.2600,0.2367,False,0.0301,0.0472,-0.0327,0.0310,-0.0222,-0.0725,0.0677,grasp,0.8020,-0.2600,0.0167,0.0000,0.0000,0.0000,False,,0.0500,0.0000,False,0.0000,0.0000,0.0000,
12,0.0,0.8031,-0.0342,False,False,False,-0.4482,5.1525,0.2815,-1.5131,-0.7878,1.3120,0.1490,-0.1430,0.1503,0.0189,-0.1220,0.1120,0.3875,0.7405,0.0195,0.7670,0.8020,-0.2600,0.0167,0.8020,-0.2600,0.2367,False,0.0790,-0.0741,0.0785,0.0105,-0.0646,0.0575,2.7328,grasp,0.8020,-0.2600,0.0167,0.0000,0.0000,0.0000,False,,0.0500,0.0000,True,0.0000,0.0000,0.0000,
13,0.0,0.8027,-0.0175,False,False,False,-0.4465,5.1497,0.2837,-1.5121,-0.7887,1.3130,-0.0624,-0.0615,0.0102,0.0687,0.0757,-0.0610,0.4349,0.7417,0.0240,0.7651,0.8020,-0.2600,0.0167,0.8020,-0.2600,0.2367,False,-0.0585,-0.0649,0.0124,0.0689,0.0740,-0.0594,1.1893,grasp,0.8020,-0.2600,0.0167,0.0000,0.0000,0.0000,False,,0.0500,0.0000,False,0.0000,0.0000,0.0000,
